31298	1	Корпус 6	Москва, поселение Сосенское, улица Василия Ощепкова, 6
92642	1	Корпус 4	Москва, поселение Сосенское, улица Василия Ощепкова, 4
95268	1	Корпус 2	Москва, поселение Сосенское, жилой комплекс Москвичка, к2
546013	1	Корпус 1	Москва, поселение Сосенское, улица Василия Ощепкова, к1
546059	1	Корпус 3	Москва, Сосенское поселение, улица Василия Ощепкова
2013	2	1К4	Москва, Большая Марфинская улица, 1к4
2014	2	6К1	Москва, улица Кашёнкин Луг, 6к1
2015	2	19К1	Москва, Ботаническая улица, 19к1
2016	2	19К2	Москва, Ботаническая улица, 19к2
8054	3	Дом 73	Москва, Нахимовский проспект, 73
2018	4	Дом 2К3	Москва, улица Маршала Рыбалко, 2к3
2019	4	Дом 2К6	Москва, улица Маршала Рыбалко, 2к6
6678	4	Дом 2К4	Москва, улица Маршала Рыбалко, 2к4
6679	4	Дом 2К9	Москва, улица Маршала Рыбалко, 2к9
2020	5	4А	Москва, улица Фадеева, 4А
2021	5	4Ас1	Москва, улица Фадеева, 4Ас1
2022	6	Корпус 1	Москва, Минская улица
10192	6	Корпус 2	Москва, Минская улица
79071	6	Корпус 3	Москва, Минская улица
79083	6	Корпус 4	Москва, Раменки
79084	6	Корпус 5	Москва, Минская улица
80716	6	Корпус 6	Москва, Минская улица
99890	6	Корпус 7	Москва, Минская улица
99891	6	Корпус 8	Москва, Минская улица
99892	6	Корпус 9	Москва, Минская улица
99893	6	Корпус 10	Москва, Минская улица
99894	6	Корпус 11	Москва, Минская улица
99895	6	Корпус 12	Москва, Минская улица
99896	6	Корпус А	Москва, Минская улица
99897	6	Корпус Б	Москва, Минская улица
46308	7	31	Московская область, Балашиха, Зелёная улица, 31
20512	8	16	Московская область, Красногорск, Ильинское шоссе, 16
20513	8	18	Московская область, Красногорск, Ильинское шоссе, 18
20514	8	14	Московская область, Красногорск, Ильинское шоссе, 14
579	9	Корпус 1	Москва, улица Намёткина, 18
580	9	Корпус 2	Москва, Херсонская улица, 43
2023	10	корпус 13 (Ленина 27)	Московская область, Королёв, улица Ленина, 27
2024	10	корпус 15А I-й этап (Пионерская улица 15с1)	Московская область, Королёв, Пионерская улица, 15к1
6149	10	корпус 10	Московская область, Королёв, улица Ленина, 25А
6150	10	корпус 8 (Ленина 25Б)	Московская область, Королёв, улица Ленина, 25Б
6151	10	корпус 4а (Гагарина 10А)	Московская область, Королёв, улица Гагарина, 10А
6152	10	корпус 7 (Гагарина 12/14)	Московская область, Королёв, улица Гагарина, 12/14
6153	10	корпус 1 блок 1 (Пионерская 13к1)	Московская область, Королёв, Пионерская улица, 13к1
6154	10	корпус 14АБ (Пионерская 19/29)	Московская область, Королёв, Пионерская улица, 19А
6155	10	корпус 1 блок 2	Московская область, Королёв, Пионерская улица, 13
6156	10	корпус 15А II-й этап (Пионерская 15А)	Московская область, Королёв, Пионерская улица, 15А
2036	11	Резервный проезд 4	Москва, Резервный проезд, 4
2038	11	Дохтуровский переулок 6	Москва, Дохтуровский переулок, 6
7725	12	Академическая жемчужина	Москва, улица Дмитрия Ульянова, 6к1
3700	13	Марсель	Москва, поселение Вороновское, деревня Никольское, улица Алёшинская Долина
2044	14	1.1	Москва, Трубецкая улица, 12к1/1
2045	14	1.2	Москва, Трубецкая улица, 12
2046	14	1.3	Москва, Трубецкая улица
6174	14	1.4	Москва, Трубецкая улица
6175	14	1.5	Москва, Трубецкая улица, 12
6176	14	1.6	Москва, Трубецкая улица
6177	14	4.1	Москва, улица Ефремова, 10с1к4/1
6178	14	4.2	Москва, улица Ефремова, 10с1к4/2
6179	14	4.3	Москва, улица Ефремова, 10с1к4/3
6180	14	4.4	Москва, улица Ефремова, 10с1к4/4
6181	14	4.5	Москва, улица Ефремова, 10с1к4/5
6182	14	4.6	Москва, улица Ефремова, 10к1
6183	14	4.7	Москва, улица Ефремова, 10с1к4/7
6184	14	4.8	Москва, улица Ефремова, 10с1к4/8
6185	14	3.1	Москва, Усачёва улица
6186	14	3.2	Москва, Усачёва улица
6187	14	3.3	Москва, улица Усачёва
6188	14	3.4	Москва, Усачёва улица
6189	14	3.5	Москва, улица Усачёва
6190	14	3.6	Москва, Усачёва улица
6191	14	3.7	Москва, улица Усачёва
6192	14	3.8	Москва, Усачёва улица
6193	14	3.9	Москва, улица Усачёва
6194	14	2.1	Москва, улица Усачёва
6195	14	2.2	Москва, улица Усачёва
6196	14	2.3	Москва, улица Усачёва
6197	14	2.4	Москва, улица Усачёва
28967	14	5.1	Москва, улица Усачева
31394	14	5.2	Москва, улица Ефремова
82974	14	2.5	Москва, Центральный административный округ, район Хамовники, жилой комплекс Садовые Кварталы
82975	14	2.6	Москва, Центральный административный округ, район Хамовники, жилой комплекс Садовые Кварталы
82977	14	2.7	Москва, Центральный административный округ, район Хамовники, жилой комплекс Садовые Кварталы
83728	14	2.10	Москва, Усачёва улица
6720	15	Балтийский квартет	Москва, бульвар Яна Райниса, 31
1872	16	Корпус 1	Москва, улица Ляпидевского, вл1к1
1873	16	Корпус 2	Москва, Флотская улица, 7к2
1874	16	Корпус 3	Москва, Флотская улица, 7к3
39298	16	Корпус 4	Москва, Флотская улица, 7к4
307	17	Дом 8	Москва, 2-я Филёвская улица, 8
308	17	Дом 8 корпус 1	Москва, 2-я Филёвская улица, 8к1
2047	17	4	Москва, 2-я Филёвская улица, 4к4
2048	18	5	Москва, 1-й Зачатьевский переулок, 5
2050	18	2	Москва, Молочный переулок, 2
2051	19	10к1	Москва, 1-я улица Машиностроения, 10
2052	19	10к2	Москва, 1-я улица Машиностроения, 10
39845	20	корпус 1А	Москва, улица Адмирала Лазарева, 63к3
46477	21	77	Москва, Алтуфьевское шоссе, 77к1
2055	22	Блок А	Москва, бульвар Маршала Рокоссовского, 6к1А
2056	22	Блок Б	Москва, бульвар Маршала Рокоссовского, 6к1Б
2057	22	Блок В	Москва, бульвар Маршала Рокоссовского, 6к1В
2058	22	Блок Г	Москва, бульвар Маршала Рокоссовского, 6к1Г
2060	23	42	Москва, Первомайская улица, 42
2061	23	42К1	Москва, Первомайская улица, 42к1
2062	23	42К2	Москва, Первомайская улица, 42к2
2063	23	42К3	Москва, Первомайская улица, 42к3
2064	23	42К4	Москва, Первомайская улица, 42к4
6355	24	Дом №4	Московская область, Жуковский, улица Гудкова, 20
11685	25	Дом 3	Московская область, Наро-Фоминский городской округ, Апрелевка, Парковая улица, 3
46317	26	27	Московская область, Балашиха, микрорайон Гагарина, 27
46318	26	28	Московская область, Балашиха, микрорайон Гагарина, 28
2002	27	Дом 4	Московская область, Звенигород, Садовая улица, 4
2003	27	Дом 3	Московская область, Звенигород, Садовая улица, 3
2004	27	Дом 5	Московская область, Звенигород, Садовая улица, 5
2066	28	34БКБ	Московская область, Мытищи, улица Колпакова, 34Б
2067	29	Дом 3	Москва, Ружейный переулок, 3
2071	30	Корпус 6 (Октябрьский проспект 10)	Московская область, Мытищи, Октябрьский проспект, 10А
7819	30	Корпус 9	Московская область, Мытищи, Яузская улица, 1
11528	31	10	Москва, улица Ивана Бабушкина, 10
38884	32	8	Московская область, Ивантеевка, Центральный проезд, 17
51385	33	Корпус 1	Московская область, Одинцовский район, сельское поселение Барвихинское, деревня Раздоры, жилой комплекс Спутник, 1
51386	33	Корпус 2	Московская область, Одинцовский район, сельское поселение Барвихинское, деревня Раздоры, жилой комплекс Спутник, 2
51387	33	Корпус 3	Московская область, Одинцовский район, сельское поселение Барвихинское, деревня Раздоры, жилой комплекс Спутник, 3
98689	33	Корпус 5	Московская область, Одинцовский район, сельское поселение Барвихинское, деревня Раздоры, жилой комплекс Спутник, 5
102279	33	Корпус 6	Московская область, Одинцовский район, сельское поселение Барвихинское, деревня Раздоры, жилой комплекс Спутник, 6
103476	33	Корпус 4	Московская область, Одинцовский район, сельское поселение Барвихинское, деревня Раздоры, жилой комплекс Спутник, 4
110371	33	Корпус 7	Московская область, Одинцовский район, сельское поселение Барвихинское, деревня Раздоры
