12515	1250	39	Москва, улица Исаковского, 39
46446	1348	Brent	Москва, улица Вавилова, 54к4
6181	130	4.5	Москва, улица Ефремова, 10с1к4/5
6182	130	4.6	Москва, улица Ефремова, 10к1
6183	130	4.7	Москва, улица Ефремова, 10с1к4/7
6184	130	4.8	Москва, улица Ефремова, 10с1к4/8
3822	6789	к9а	Москва, улица Обручева
5392	7508	Дом 4	Московская область
6185	130	3.1	Москва, Усачёва улица
6186	130	3.2	Москва, Усачёва улица
37873	14449	D	Москва, улица Заречная, 4Бс2
6187	130	3.3	Москва, улица Усачёва
6188	130	3.4	Москва, Усачёва улица
6189	130	3.5	Москва, улица Усачёва
99890	9	Корпус 7	Москва, Минская улица
99891	9	Корпус 8	Москва, Минская улица
99892	9	Корпус 9	Москва, Минская улица
99893	9	Корпус 10	Москва, Минская улица
99894	9	Корпус 11	Москва, Минская улица
99895	9	Корпус 12	Москва, Минская улица
99896	9	Корпус А	Москва, Минская улица
99897	9	Корпус Б	Москва, Минская улица
46308	36	31	Московская область, Балашиха, Зелёная улица, 31
20512	38	16	Московская область, Красногорск, Ильинское шоссе, 16
20513	38	18	Московская область, Красногорск, Ильинское шоссе, 18
20514	38	14	Московская область, Красногорск, Ильинское шоссе, 14
579	47	Корпус 1	Москва, улица Намёткина, 18
580	47	Корпус 2	Москва, Херсонская улица, 43
2023	56	корпус 13 (Ленина 27)	Московская область, Королёв, улица Ленина, 27
2024	56	корпус 15А I-й этап (Пионерская улица 15с1)	Московская область, Королёв, Пионерская улица, 15к1
6149	56	корпус 10	Московская область, Королёв, улица Ленина, 25А
6150	56	корпус 8 (Ленина 25Б)	Московская область, Королёв, улица Ленина, 25Б
6151	56	корпус 4а (Гагарина 10А)	Московская область, Королёв, улица Гагарина, 10А
6152	56	корпус 7 (Гагарина 12/14)	Московская область, Королёв, улица Гагарина, 12/14
6153	56	корпус 1 блок 1 (Пионерская 13к1)	Московская область, Королёв, Пионерская улица, 13к1
6154	56	корпус 14АБ (Пионерская 19/29)	Московская область, Королёв, Пионерская улица, 19А
6155	56	корпус 1 блок 2	Московская область, Королёв, Пионерская улица, 13
6156	56	корпус 15А II-й этап (Пионерская 15А)	Московская область, Королёв, Пионерская улица, 15А
2036	93	Резервный проезд 4	Москва, Резервный проезд, 4
2038	93	Дохтуровский переулок 6	Москва, Дохтуровский переулок, 6
7725	94	Академическая жемчужина	Москва, улица Дмитрия Ульянова, 6к1
3700	111	Марсель	Москва, поселение Вороновское, деревня Никольское, улица Алёшинская Долина
2044	130	1.1	Москва, Трубецкая улица, 12к1/1
2046	130	1.3	Москва, Трубецкая улица
6174	130	1.4	Москва, Трубецкая улица
6175	130	1.5	Москва, Трубецкая улица, 12
6176	130	1.6	Москва, Трубецкая улица
6177	130	4.1	Москва, улица Ефремова, 10с1к4/1
6178	130	4.2	Москва, улица Ефремова, 10с1к4/2
6179	130	4.3	Москва, улица Ефремова, 10с1к4/3
6180	130	4.4	Москва, улица Ефремова, 10с1к4/4
6190	130	3.6	Москва, Усачёва улица
6191	130	3.7	Москва, улица Усачёва
6192	130	3.8	Москва, Усачёва улица
6193	130	3.9	Москва, улица Усачёва
6194	130	2.1	Москва, улица Усачёва
6195	130	2.2	Москва, улица Усачёва
6196	130	2.3	Москва, улица Усачёва
6197	130	2.4	Москва, улица Усачёва
28967	130	5.1	Москва, улица Усачева
31394	130	5.2	Москва, улица Ефремова
82974	130	2.5	Москва, Центральный административный округ, район Хамовники, жилой комплекс Садовые Кварталы
82975	130	2.6	Москва, Центральный административный округ, район Хамовники, жилой комплекс Садовые Кварталы
82977	130	2.7	Москва, Центральный административный округ, район Хамовники, жилой комплекс Садовые Кварталы
83728	130	2.10	Москва, Усачёва улица
6720	132	Балтийский квартет	Москва, бульвар Яна Райниса, 31
1872	134	Корпус 1	Москва, улица Ляпидевского, вл1к1
1873	134	Корпус 2	Москва, Флотская улица, 7к2
1874	134	Корпус 3	Москва, Флотская улица, 7к3
39298	134	Корпус 4	Москва, Флотская улица, 7к4
307	143	Дом 8	Москва, 2-я Филёвская улица, 8
308	143	Дом 8 корпус 1	Москва, 2-я Филёвская улица, 8к1
2047	143	4	Москва, 2-я Филёвская улица, 4к4
2048	145	5	Москва, 1-й Зачатьевский переулок, 5
2050	145	2	Москва, Молочный переулок, 2
2051	146	10к1	Москва, 1-я улица Машиностроения, 10
2052	146	10к2	Москва, 1-я улица Машиностроения, 10
39845	147	корпус 1А	Москва, улица Адмирала Лазарева, 63к3
46477	149	77	Москва, Алтуфьевское шоссе, 77к1
2055	150	Блок А	Москва, бульвар Маршала Рокоссовского, 6к1А
