1	1	Москвичка	Москва	Москва, поселение Сосенское, улица Василия Ощепкова
2	2	Марфино	Москва	Москва, Ботаническая улица, 11А
5	3	Versis	Москва	Москва, Нахимовский проспект, 73
6	4	Маршал	Москва	Москва, улица Маршала Рыбалко
8	5	Итальянский Квартал	Москва	Москва, улица Фадеева, 4А
9	6	Снегири Эко	Москва	Москва, Минская улица
36	7	Твой Адрес Мечты	Московская область	Московская область, Балашиха, Зелёная улица, 31
38	8	Ильинский парк	Московская область	Московская область, Красногорск, Ильинское шоссе
47	9	Розмарин	Москва	Москва, улица Наметкина, 18к2
56	10	Золотые ворота	Московская область	Московская область, Королёв, Пионерская улица
93	11	Кутузовский	Москва	Москва, Резервный проезд, 4
94	12	Академическая жемчужина	Москва	Москва, улица Дмитрия Ульянова, 6к1
111	13	Марсель	Москва	Москва, поселение Вороновское, деревня Никольское, улица Стольника Потёмкина
130	14	Садовые кварталы	Москва	Москва, улица Усачёва
132	15	Балтийский квартет	Москва	Москва, бульвар Яна Райниса, 31
134	16	Флотилия	Москва	Москва, Флотская улица
143	17	ФилиЧета	Москва	Москва, 2-я Филевская улица, 8
145	18	Новая Остоженка	Москва	Москва, 1-й Зачатьевский переулок
146	19	Дубровская Слобода	Москва	Москва, 1-я улица Машиностроения, 10
147	20	LIFE-Лазаревское	Москва	Москва, улица Адмирала Лазарева
149	21	Резидент 77	Москва	Москва, Алтуфьевское шоссе, 77к1
150	22	Богородский	Москва	Москва, бульвар Маршала Рокоссовского
228	23	Измайловский	Москва	Москва, Первомайская улица, 42
244	24	Авиатор-парк	Московская область	Московская область, Жуковский, улица Гудкова
256	25	Новая Апрелевка	Московская область	Московская область, Наро-Фоминский городской округ, Апрелевка, Парковая улица
275	26	Гагаринский	Московская область	Московская область, Балашиха, микрорайон Гагарина, 27
295	27	Заречье	Московская область	Московская область, Звенигород, Садовая улица
309	28	Орион	Московская область	Московская область, Мытищи, улица Колпакова
317	29	Смоленская Застава	Москва	Москва, Ружейный переулок, 3
319	30	Цветочный город	Московская область	Московская область, Мытищи, Магистральная улица
325	31	Вектор-хаус	Москва	Москва, улица Ивана Бабушкина, 10
328	32	Центральный проезд, 8	Московская область	Московская область, Ивантеевка, Центральный проезд, 17
339	33	Квартал «Спутник»	Московская область	Московская область, Мякининское шоссе
340	34	Квартал Тайнинский	Московская область	Московская область, Мытищи, Благовещенская улица
341	35	Каскад	Московская область	Московская область, Мытищи, Новомытищинский проспект, 41А
368	36	Sky House	Москва	Москва, Мытная улица
378	37	Приоритет	Москва	Москва, Нагорный бульвар
394	38	Виноградный	Москва	Москва, Измайловский проезд, 10
412	39	Примавера	Москва	Москва, Симферопольский проезд, 18
416	40	Кутузовская Ривьера	Москва	Москва, Нежинская улица
418	41	Таганское подворье	Москва	Москва, Нижегородская улица, 7
425	42	Новоясеневский	Москва	Москва, Новоясеневский проспект, 9
431	43	Арбатская слобода	Московская область	Московская область, Коломна, Москворецкая улица
433	44	Адмирал	Москва	Москва, Профсоюзная улица, 25к1
441	45	Николаевский дом	Москва	Москва, Комсомольский проспект, 9А
442	46	Knightsbridge Private Park	Москва	Москва, улица Ефремова, 19к1
452	47	VernadSKY	Москва	Москва, проспект Вернадского, у станции метро Юго-Западная
456	48	Manhattan House	Москва	Москва, улица Верхняя Масловка, 20С1
472	49	Центральный	Московская область	Московская область, Воскресенск, улица Куйбышева
475	50	Высоково	Московская область	Московская область, Электросталь, улица Захарченко
479	51	Дом на Гиляровского	Москва	Москва, улица Гиляровского, 55
487	52	Премьер	Москва	Москва, улица Фотиевой, 6к1
508	53	Новое Бисерово	Московская область	Московская область, Богородский городской округ, деревня Щемилово, улица Орлова
513	54	Первый	Московская область	Московская область, Одинцово, бульвар Маршала Крылова, 25А
515	55	Вокзальная 19	Московская область	Московская область, Одинцово, Вокзальная улица, 19
516	56	Одинцовский Парк	Московская область	Московская область, Одинцово, 9-й микрорайон, Белорусская улица
518	57	Сколков бор	Московская область	Московская область, Одинцовский район, пос. Заречье, улица Университетская
520	58	Дубки	Московская область	Московская область, Одинцовский район, поселок ВНИИССОК, Можайское шоссе
528	59	Лесной Городок	Московская область	Московская область, Одинцовский район, поселок городского типа Лесной Городок, Грибовская улица
530	60	Вяземский	Московская область	Московская область, Дмитровский район, коттеджный поселок ЖК Удино парк
533	61	Новоивановский	Московская область	Московская область, Одинцовский район, рабочий поселок Новоивановское, улица Агрохимиков, 19
573	62	Волжский	Москва	Москва, Волжский бульвар
575	63	ул. Дружбы, 35Б	Московская область	Московская область, Домодедово, микрорайон Дружба, улица Дружбы, 2
607	64	Княжьи горки	Московская область	Московская область, Павловский Посад, улица Герцена
619	65	Микрогород  В лесу	Московская область	Московская область, городской округ Красногорск, поселок Отрадное, Пятницкое шоссе
621	66	мкр. Архангельское	Московская область	Московская область, городской округ Красногорск, посёлок Архангельское, 7
655	67	Ренессанс	Московская область	Московская область, Подольск, Красногвардейский бульвар, 33А
680	68	Дирижабль	Москва	Москва, Профсоюзная улица, 64к2
681	69	Обыкновенное чудо	Москва	Москва, улица Пудовкина, 7
727	70	Румянцево-Парк	Москва	Москва, Родниковая улица
756	71	Loft Garden	Москва	Москва, 2-я Рыбинская улица, 13
757	72	LIFE-Сходненская	Москва	Москва, Химкинский бульвар
759	73	Авеню 77	Москва	Москва, микрорайон Северное Чертаново, 1Ак3
771	74	Витро Кантри	Московская область	Московская область, Одинцовский район, коттеджный посёлок Витро Кантри
783	75	Трио	Московская область	Московская область, Луховицы, улица Тимирязева, 12А
802	76	Barkli Park	Москва	Москва, улица Советской Армии, 6
827	77	Миниполис Самоцветы	Московская область	Московская область, Люберцы, улица Кирова
839	78	Янтарный город	Москва	Москва, улица Маршала Катукова
876	79	Клубный дом на Таганке	Москва	Москва, Брошевский переулок, 6с1
910	80	Дом на Трубецкой	Москва	Москва, Трубецкая улица, 10
918	81	Ривер-Хаус	Москва	Москва, Филёвский бульвар, 24к1
935	82	Город набережных	Московская область	Московская область, Химки, квартал Клязьма, улица Лётчика Ивана Фёдорова
964	83	Дом на Беговой	Москва	Москва, Хорошёвское шоссе, 12с1
975	84	Счастье в Олимпийской деревне	Москва	Москва, улица Мичуринский Проспект, Олимпийская Деревня, 10к1
986	85	Потапово	Московская область	Московская область, Щёлково, Чкаловская улица
1021	86	ул. Советская 18	Московская область	Московская область, Подольск, микрорайон Климовск, Советская улица
1024	87	Юрлово	Москва	Москва, Юрловский проезд, 14
1062	88	Дом в Сокольниках	Москва	Москва, Русаковская улица, 31
1070	89	Соколиная Гора	Москва	Москва, проспект Буденного
1082	90	Dominion	Москва	Москва, Ломоносовский проспект, 25
1085	91	O2XYGEN	Москва	Москва, Ярцевская улица, 27к1
1088	92	Академ-Палас	Москва	Москва, проспект Вернадского, вл78
1092	93	Ближняя дача	Москва	Москва, Староволынская улица, 15
1093	94	Волынский	Москва	Москва, Староволынская улица, 12к1
1094	95	Воробьевы Горы	Москва	Москва, Мосфильмовская улица, 70
1097	96	Дипломат	Москва	Москва, Мичуринский проспект, 39
1098	97	Долина грез	Москва	Москва, Крылатская улица
1099	98	Дом на Мосфильмовской	Москва	Москва, Мосфильмовская улица, 8
1101	99	Золотой Треугольник	Москва	Москва, улица Герасима Курина, 36
1102	100	Золотые Ключи 2	Москва	Москва, Минская улица
1107	101	Квартал Шуваловский	Москва	Москва, Ломоносовский проспект
1116	102	Мичуринский	Москва	Москва, жилой комплекс Мичуринский
1131	103	Солнце	Москва	Москва, Ельнинская улица 30
1172	104	Головино	Москва	Москва, Нарвская улица, 1Ак4
1173	105	Гранд-парк	Москва	Москва, Ходынский бульвар
